x,class-0,class-1,class-2,class-3,class-4,mean
0,0.927083,0.8,0.931034,1,0.666667,0.8341691818181819
0.01,0.875,0.771429,0.931034,1,0.523203,0.8257530000000002
0.02,0.875,0.742857,0.907282,1,0.490196,0.8172180000000001
0.03,0.864583,0.714286,0.896552,1,0.48366,0.8082561818181818
0.04,0.864583,0.714286,0.896552,1,0.47085,0.7989136363636363
0.05,0.854167,0.714286,0.896552,1,0.444242,0.7886457272727273
0.06,0.854167,0.714286,0.862069,1,0.431373,0.7773412727272728
0.07,0.854167,0.714286,0.862069,1,0.424837,0.7697674545454547
0.08,0.843764,0.714286,0.862069,1,0.411765,0.7632715454545455
0.09,0.84375,0.714286,0.854214,1,0.398693,0.7571469090909091
0.1,0.84375,0.685714,0.841905,1,0.388683,0.7512551818181818
0.11,0.84375,0.657143,0.829597,1,0.372549,0.7458080000000001
0.12,0.833333,0.657143,0.827586,1,0.366045,0.7412126363636364
0.13,0.813854,0.657143,0.827586,1,0.359477,0.7365265454545454
0.14,0.8125,0.657143,0.793103,1,0.359477,0.7322391818181817
0.15,0.8125,0.657143,0.793103,1,0.359477,0.7283325454545455
0.16,0.8125,0.657143,0.793103,1,0.346902,0.7251505454545455
0.17,0.8125,0.657143,0.793103,1,0.346405,0.7229136363636365
0.18,0.8125,0.657143,0.793103,1,0.334879,0.7209043636363637
0.19,0.8125,0.657143,0.793103,1,0.333333,0.7189736363636364
0.2,0.8125,0.657143,0.793103,1,0.333333,0.7175252727272726
0.21,0.8125,0.657143,0.793103,1,0.322296,0.7160246363636363
0.22,0.809505,0.657143,0.793103,1,0.320261,0.7146615454545453
0.23,0.803089,0.657143,0.793103,1,0.320261,0.7130239090909091
0.24,0.792489,0.657143,0.793103,1,0.309137,0.7114065454545455
0.25,0.791667,0.657143,0.793103,1,0.300654,0.7097167272727272
0.26,0.791667,0.657143,0.793103,1,0.297778,0.7079077272727272
0.27,0.791667,0.657143,0.793103,1,0.292769,0.7062520909090909
0.28,0.78125,0.657143,0.793103,1,0.287582,0.7046533636363635
0.29,0.770841,0.657143,0.793103,1,0.287582,0.703083909090909
0.3,0.770833,0.657143,0.793103,1,0.282059,0.7013060909090908
0.31,0.770833,0.657143,0.793103,1,0.275505,0.6994024545454546
0.32,0.770833,0.657143,0.793103,1,0.2729,0.6971217272727273
0.33,0.770833,0.657143,0.793103,1,0.271002,0.6945985454545454
0.34,0.770833,0.657143,0.790194,1,0.269103,0.692089818181818
0.35,0.770833,0.657143,0.764514,1,0.2616,0.6896563636363637
0.36,0.770833,0.657143,0.74845,1,0.261438,0.6871157272727273
0.37,0.760417,0.657143,0.73525,1,0.261438,0.6844064545454546
0.38,0.760417,0.657143,0.724138,1,0.254208,0.6814067272727272
0.39,0.75,0.657143,0.724138,1,0.249819,0.6782842727272727
0.4,0.75,0.652327,0.724138,1,0.248366,0.6751640909090907
0.41,0.744877,0.646754,0.724138,1,0.247637,0.6725856363636363
0.42,0.738675,0.641181,0.724138,1,0.243581,0.6702603636363635
0.43,0.729167,0.635608,0.724138,1,0.240081,0.6682576363636364
0.44,0.729167,0.630035,0.724138,1,0.237004,0.6663617272727274
0.45,0.729167,0.628571,0.724138,1,0.233788,0.6644158181818182
0.46,0.729167,0.628571,0.724138,1,0.2304,0.6623944545454545
0.47,0.729167,0.628571,0.724138,1,0.228098,0.6605808181818182
0.48,0.729167,0.628571,0.724138,1,0.222222,0.6590258181818182
0.49,0.726111,0.628571,0.724138,1,0.21281,0.6575357272727272
0.5,0.71875,0.628571,0.724138,1,0.202614,0.6559382727272728
0.51,0.708333,0.628571,0.724138,1,0.202614,0.6542773636363637
0.52,0.708333,0.628571,0.724138,1,0.202614,0.6524834545454545
0.53,0.708333,0.628571,0.724138,1,0.201008,0.6504425454545455
0.54,0.708333,0.623892,0.724138,1,0.190675,0.6477543636363636
0.55,0.708333,0.617008,0.724138,1,0.183007,0.6448962727272727
0.56,0.708333,0.610124,0.724138,1,0.181722,0.6422260909090909
0.57,0.708333,0.60324,0.724138,1,0.177897,0.6391878181818181
0.58,0.703895,0.593548,0.724138,1,0.176143,0.6359239090909091
0.59,0.680818,0.581357,0.724138,1,0.169935,0.6325089090909091
0.6,0.677083,0.570606,0.724138,1,0.162609,0.6284507272727273
0.61,0.677083,0.566173,0.724138,1,0.15982,0.6243871818181819
0.62,0.65364,0.56174,0.724138,1,0.157033,0.6203324545454546
0.63,0.645833,0.557307,0.724138,1,0.156863,0.6161988181818182
0.64,0.645833,0.552874,0.721845,1,0.153671,0.6115382727272727
0.65,0.635417,0.548442,0.689655,1,0.150327,0.6062489090909091
0.66,0.625,0.544009,0.689655,1,0.150327,0.6002479090909092
0.67,0.625,0.542857,0.689655,1,0.143791,0.5938343636363637
0.68,0.625,0.542857,0.689655,1,0.128746,0.5867598181818182
0.69,0.605319,0.523524,0.689655,1,0.122896,0.5784154545454546
0.7,0.554596,0.503256,0.689655,1,0.117826,0.5691355454545455
0.71,0.513458,0.489648,0.689655,1,0.111617,0.5600836363636363
0.72,0.5,0.477905,0.689655,1,0.106912,0.549799909090909
0.73,0.474327,0.454041,0.689655,0.99072,0.098709,0.5383359090909091
0.74,0.431615,0.433143,0.689655,0.980185,0.0906,0.5262432727272727
0.75,0.413194,0.408696,0.689655,0.96965,0.082633,0.513161
0.76,0.405932,0.392868,0.689655,0.959098,0.078431,0.5003914545454545
0.77,0.390729,0.382032,0.689655,0.914398,0.066572,0.4869078181818182
0.78,0.355045,0.371433,0.689655,0.890694,0.063958,0.4732043636363637
0.79,0.322681,0.371429,0.689655,0.875,0.062402,0.45911427272727273
0.8,0.254487,0.341882,0.689655,0.875,0.060845,0.44486963636363636
0.81,0.219883,0.32761,0.684017,0.872209,0.059289,0.42909627272727274
0.82,0.16513,0.314286,0.676256,0.852364,0.054743,0.41243009090909094
0.83,0.15625,0.314286,0.668496,0.832556,0.049192,0.3955871818181818
0.84,0.142367,0.278743,0.660735,0.813593,0.037059,0.37849800000000006
0.85,0.126123,0.259238,0.63295,0.79463,0.028802,0.3601758181818182
0.86,0.122381,0.20959,0.579204,0.765952,0.019168,0.34137981818181823
0.87,0.112546,0.190147,0.55168,0.742026,0.012944,0.3207676363636364
0.88,0.097014,0.174332,0.508391,0.725294,0.011995,0.29817863636363634
0.89,0.072917,0.149714,0.488774,0.708429,0.011045,0.26986899999999997
0.9,0.064373,0.130449,0.432567,0.675962,0.010096,0.2386364545454545
0.91,0.044926,0.113863,0.400153,0.62,0.009147,0.20540245454545455
0.92,0.037917,0.101143,0.32,0.562083,0.008197,0.17475918181818184
0.93,0.030774,0.088422,0.219218,0.474722,0.007248,0.14549836363636362
0.94,0.019803,0.041247,0.133103,0.269596,0,0.11791609090909091
0.95,0.01684,0,0.05977,0.138095,0,0.09190009090909092
0.96,0.013877,0,0,0,0,0.06801927272727272
0.97,0.010914,0,0,0,0,0.04641763636363636
0.98,0,0,0,0,0,0.02770236363636364
0.99,0,0,0,0,0,0.012786272727272728
1,0,0,0,0,0,0.004354454545454545