x,69e0819b1d58f74c475160ff,69e0819b1d58f74c475160ff
1,2.26616,2.26616
2,2.10063,2.10063
3,1.83236,1.83236
4,2.18,2.18
5,1.85526,1.85526
6,1.80157,1.80157
7,1.64134,1.64134
8,1.7438,1.7438
9,1.68092,1.68092
10,1.61783,1.61783
11,1.68926,1.68926
12,1.60072,1.60072
13,1.60155,1.60155
14,1.59851,1.59851
15,1.5425,1.5425
16,1.58163,1.58163
17,1.51262,1.51262
18,1.48859,1.48859
19,1.46536,1.46536
20,1.45447,1.45447
21,1.45898,1.45898
22,1.49255,1.49255
23,1.5248,1.5248
24,1.45732,1.45732
25,1.45851,1.45851
26,1.50642,1.50642
27,1.4448,1.4448
28,1.42089,1.42089
29,1.43697,1.43697
30,1.4563,1.4563
31,1.41678,1.41678
32,1.38111,1.38111
33,1.4153,1.4153
34,1.36707,1.36707
35,1.40334,1.40334
36,1.39618,1.39618
37,1.37124,1.37124
38,1.39144,1.39144
39,1.39722,1.39722
40,1.34145,1.34145
41,1.36427,1.36427
42,1.29195,1.29195
43,1.2867,1.2867
44,1.34887,1.34887
45,1.33288,1.33288
46,1.31236,1.31236
47,1.33208,1.33208
48,1.30517,1.30517
49,1.33741,1.33741
50,1.32762,1.32762
51,1.3044,1.3044
52,1.3176,1.3176
53,1.28259,1.28259
54,1.32001,1.32001
55,1.28718,1.28718
56,1.26708,1.26708
57,1.33162,1.33162
58,1.29948,1.29948
59,1.28711,1.28711
60,1.27452,1.27452
61,1.27411,1.27411
62,1.27063,1.27063
63,1.29238,1.29238
64,1.2683,1.2683
65,1.28376,1.28376
66,1.22114,1.22114
67,1.29519,1.29519
68,1.2459,1.2459
69,1.27654,1.27654
70,1.33535,1.33535
71,1.29483,1.29483
72,1.24522,1.24522
73,1.24289,1.24289
74,1.25799,1.25799
75,1.29627,1.29627
76,1.30516,1.30516
77,1.23643,1.23643
78,1.22921,1.22921
79,1.29286,1.29286
80,1.25388,1.25388
81,1.25341,1.25341
82,1.23698,1.23698
83,1.22281,1.22281
84,1.23771,1.23771
85,1.23448,1.23448
86,1.19181,1.19181
87,1.1986,1.1986
88,1.20422,1.20422
89,1.19954,1.19954
90,1.23641,1.23641
91,1.19458,1.19458
92,1.20534,1.20534
93,1.20831,1.20831
94,1.21427,1.21427
95,1.17619,1.17619
96,1.17137,1.17137
97,1.22639,1.22639
98,1.20934,1.20934
99,1.22378,1.22378
100,1.17337,1.17337
101,1.18662,1.18662
102,1.20225,1.20225
103,1.16936,1.16936
104,1.17957,1.17957
105,1.18167,1.18167
106,1.19286,1.19286
107,1.19267,1.19267
108,1.19093,1.19093
109,1.16442,1.16442
110,1.16069,1.16069
111,1.17711,1.17711
112,1.13956,1.13956
113,1.16687,1.16687
114,1.18425,1.18425
115,1.176,1.176
116,1.18917,1.18917
117,1.16349,1.16349
118,1.166,1.166
119,1.22226,1.22226
120,1.19019,1.19019
121,1.18938,1.18938
122,1.20372,1.20372
123,1.17857,1.17857
124,1.16414,1.16414
125,1.17176,1.17176
126,1.15081,1.15081
127,1.18349,1.18349
128,1.13843,1.13843
129,1.12951,1.12951
130,1.15332,1.15332
131,1.13027,1.13027
132,1.14548,1.14548
133,1.12482,1.12482
134,1.12593,1.12593
135,1.1242,1.1242
136,1.13701,1.13701
137,1.10974,1.10974
138,1.14281,1.14281
139,1.13149,1.13149
140,1.14216,1.14216
141,1.15652,1.15652
142,1.14004,1.14004
143,1.146,1.146
144,1.13964,1.13964
145,1.13823,1.13823
146,1.1329,1.1329
147,1.14158,1.14158
148,1.1328,1.1328
149,1.12418,1.12418
150,1.12782,1.12782
151,1.11675,1.11675
152,1.11409,1.11409
153,1.12129,1.12129
154,1.15531,1.15531
155,1.14018,1.14018
156,1.13029,1.13029
157,1.14471,1.14471
158,1.13611,1.13611
159,1.14497,1.14497
160,1.13487,1.13487
161,1.15211,1.15211
162,1.14577,1.14577
163,1.12593,1.12593
164,1.11368,1.11368
165,1.12724,1.12724
166,1.11352,1.11352
167,1.1207,1.1207
168,1.12598,1.12598
169,1.12418,1.12418
170,1.11632,1.11632
171,1.13199,1.13199
172,1.14079,1.14079
173,1.13324,1.13324
174,1.12787,1.12787
175,1.14534,1.14534
176,1.15036,1.15036
177,1.13684,1.13684
178,1.13336,1.13336
179,1.12323,1.12323
180,1.12722,1.12722
181,1.12427,1.12427
182,1.12415,1.12415
183,1.11748,1.11748
184,1.11708,1.11708
185,1.1242,1.1242
186,1.13034,1.13034
187,1.13403,1.13403
188,1.13113,1.13113
189,1.12896,1.12896
190,1.12416,1.12416
191,1.13134,1.13134
192,1.13326,1.13326
193,1.13139,1.13139
194,1.13303,1.13303
195,1.12613,1.12613
196,1.1209,1.1209
197,1.117,1.117
198,1.11801,1.11801
199,1.12105,1.12105
200,1.12153,1.12153
201,NaN,NaN