x,69e0819b1d58f74c475160ff
1,0.1545
2,0.16677
3,0.23271
4,0.20528
5,0.25347
6,0.31994
7,0.39643
8,0.37817
9,0.34765
10,0.3943
11,0.42295
12,0.45863
13,0.48887
14,0.40485
15,0.45169
16,0.5134
17,0.50548
18,0.53727
19,0.53984
20,0.55703
21,0.53183
22,0.51243
23,0.52111
24,0.57807
25,0.57358
26,0.55578
27,0.57485
28,0.55797
29,0.56925
30,0.57495
31,0.56378
32,0.59776
33,0.61063
34,0.60427
35,0.59358
36,0.60416
37,0.62965
38,0.59934
39,0.6183
40,0.632
41,0.63281
42,0.65059
43,0.62942
44,0.64992
45,0.63041
46,0.66641
47,0.63539
48,0.64922
49,0.64708
50,0.64886
51,0.67696
52,0.6447
53,0.6354
54,0.66513
55,0.63631
56,0.65813
57,0.64953
58,0.63738
59,0.66059
60,0.69232
61,0.65413
62,0.6535
63,0.66448
64,0.65958
65,0.66748
66,0.66482
67,0.66644
68,0.6476
69,0.66377
70,0.64485
71,0.67885
72,0.68442
73,0.68567
74,0.67532
75,0.69032
76,0.6619
77,0.66474
78,0.68518
79,0.68244
80,0.66755
81,0.69112
82,0.6989
83,0.68016
84,0.6715
85,0.6886
86,0.6775
87,0.68505
88,0.67641
89,0.68588
90,0.67305
91,0.69562
92,0.68708
93,0.70308
94,0.67872
95,0.69872
96,0.70317
97,0.68728
98,0.69078
99,0.68738
100,0.69708
101,0.69704
102,0.69743
103,0.68007
104,0.68661
105,0.71576
106,0.69762
107,0.70055
108,0.68973
109,0.7014
110,0.68836
111,0.68683
112,0.68762
113,0.69103
114,0.70082
115,0.6984
116,0.6786
117,0.69135
118,0.6826
119,0.68177
120,0.69085
121,0.69266
122,0.67145
123,0.68305
124,0.69992
125,0.69085
126,0.68916
127,0.68609
128,0.69361
129,0.70393
130,0.70256
131,0.68726
132,0.69622
133,0.6908
134,0.68537
135,0.69002
136,0.69049
137,0.67762
138,0.66784
139,0.68422
140,0.68771
141,0.67917
142,0.68818
143,0.69312
144,0.68944
145,0.69743
146,0.69362
147,0.69347
148,0.68127
149,0.68549
150,0.69173
151,0.68803
152,0.69002
153,0.68711
154,0.68881
155,0.69851
156,0.68138
157,0.68049
158,0.69141
159,0.6916
160,0.68066
161,0.67686
162,0.67744
163,0.6836
164,0.6795
165,0.67539
166,0.67338
167,0.67533
168,0.67796
169,0.67032
170,0.67589
171,0.67691
172,0.67899
173,0.67245
174,0.66522
175,0.66181
176,0.67951
177,0.67303
178,0.67308
179,0.67829
180,0.68444
181,0.68775
182,0.69148
183,0.68573
184,0.68989
185,0.68607
186,0.68497
187,0.69032
188,0.6927
189,0.69013
190,0.68796
191,0.6833
192,0.68296
193,0.6798
194,0.679
195,0.67849
196,0.67652
197,0.67878
198,0.67764
199,0.67924
200,0.68197
201,0.690768